"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"167","daily","sGARCH","norm","3,1","4,2","-3.90470596408314",2.44249065417534e-14
"168","daily","sGARCH","norm","3,1","4,3","-3.90385169127136",5.55111512312578e-16
"169","daily","sGARCH","norm","3,2","0,0","-3.92317377264325",2.45139020194074e-09
"170","daily","sGARCH","norm","3,2","0,1","-3.92007068206133",3.63109542433904e-12
"171","daily","sGARCH","norm","3,2","0,2","-3.9173307023101",4.95969931790796e-12
"172","daily","sGARCH","norm","3,2","0,3","-3.91411296551178",3.68038932663239e-13
"173","daily","sGARCH","norm","3,2","0,4","-3.91116494588973",3.58602036953926e-14
"174","daily","sGARCH","norm","3,2","1,0","-3.92008558500977",2.5818236437658e-12
"175","daily","sGARCH","norm","3,2","1,1","-3.9170563530065",6.71573907595757e-13
"176","daily","sGARCH","norm","3,2","1,2","-3.91425643935764",2.72448730243013e-13
"177","daily","sGARCH","norm","3,2","1,3","-3.91131816088315",6.49480469405717e-14
"178","daily","sGARCH","norm","3,2","1,4","-3.90784807726281",5.32907051820075e-15
"179","daily","sGARCH","norm","3,2","2,0","-3.9173361404155",6.83930689859835e-12
"180","daily","sGARCH","norm","3,2","2,1","-3.91423490293709",3.81139564353816e-13
"181","daily","sGARCH","norm","3,2","2,2","-3.91222198145496",1.13242748511766e-14
"182","daily","sGARCH","norm","3,2","2,3","-3.91049716814751",3.85247389544929e-14
"183","daily","sGARCH","norm","3,2","2,4","-3.90733099131537",9.54791801177635e-15
"184","daily","sGARCH","norm","3,2","3,0","-3.91412262584757",5.14255305006373e-13
"185","daily","sGARCH","norm","3,2","3,1","-3.91137964304515",8.33777491493493e-14
"186","daily","sGARCH","norm","3,2","3,2","-3.91054543714997",1.50990331349021e-14
"187","daily","sGARCH","norm","3,2","3,3","-3.90585850892452",0
"188","daily","sGARCH","norm","3,2","3,4","-3.91164367613434",0
"189","daily","sGARCH","norm","3,2","4,0","-3.91106776694593",6.15063555642337e-14
"190","daily","sGARCH","norm","3,2","4,1","-3.90774539973619",9.43689570931383e-15
"191","daily","sGARCH","norm","3,2","4,2","-3.90747672604506",8.88178419700125e-16
"192","daily","sGARCH","norm","3,2","4,3","-3.90435306860393",0
"193","daily","sGARCH","norm","3,3","0,0","-3.92096740461877",2.45139020194074e-09
"194","daily","sGARCH","norm","3,3","0,1","-3.91782920503078",4.8168136146387e-12
"195","daily","sGARCH","norm","3,3","0,2","-3.91514149420755",4.86910511909855e-12
"196","daily","sGARCH","norm","3,3","0,3","-3.91202640017149",1.77524661637563e-13
"197","daily","sGARCH","norm","3,3","0,4","-3.9090786802132",2.24265050974282e-14
"198","daily","sGARCH","norm","3,3","1,0","-3.91784381261034",3.30702132345095e-12
"199","daily","sGARCH","norm","3,3","1,1","-3.9147888916539",6.29940544172314e-13
"200","daily","sGARCH","norm","3,3","1,2","-3.91219877944033",1.96287430753728e-13
"201","daily","sGARCH","norm","3,3","1,3","-3.90894667628084",1.25455201782643e-14
"202","daily","sGARCH","norm","3,3","1,4","-3.90578917066225",3.10862446895044e-15
"203","daily","sGARCH","norm","3,3","2,0","-3.91465181313317",1.3168355295079e-12
"204","daily","sGARCH","norm","3,3","2,1","-3.91216450717423",3.16080495110782e-13
"205","daily","sGARCH","norm","3,3","2,2","-3.91543248913992",0
"206","daily","sGARCH","norm","3,3","2,3","-3.90773209563689",5.21804821573824e-15
"207","daily","sGARCH","norm","3,3","2,4","-3.90564343470759",5.6621374255883e-15
"208","daily","sGARCH","norm","3,3","3,0","-3.91155106771979",4.55191440096314e-14
"209","daily","sGARCH","norm","3,3","3,1","-3.90946258654241",5.98410210272959e-14
"210","daily","sGARCH","norm","3,3","3,2","-3.90734010706344",5.58442181386454e-14
"211","daily","sGARCH","norm","3,3","3,3","-3.90528940992673",3.31956684362922e-14
"212","daily","sGARCH","norm","3,3","3,4","-3.90148413488366",0
"213","daily","sGARCH","norm","3,3","4,0","-3.90896454261726",4.22994972382185e-14
"214","daily","sGARCH","norm","3,3","4,1","-3.90563274816428",1.94289029309402e-14
"215","daily","sGARCH","norm","3,3","4,2","-3.90996767532837",0
"216","daily","sGARCH","norm","3,3","4,3","-3.90669730539533",0
"217","daily","eGARCH","norm","1,1","0,0","-3.92704960167602",2.45139020194074e-09
"218","daily","eGARCH","norm","1,1","0,1","-3.9237785466759",5.97251137435251e-11
"219","daily","eGARCH","norm","1,1","0,2","-3.92066356194305",2.4295898626292e-11
"220","daily","eGARCH","norm","1,1","0,3","-3.91751866324361",3.78364006792253e-13
"221","daily","eGARCH","norm","1,1","0,4","-3.91453731537775",6.55031584528842e-15
"222","daily","eGARCH","norm","1,1","1,0","-3.9237817820148",5.23822096809567e-11
"223","daily","eGARCH","norm","1,1","1,1","-3.92062334324908",5.91016124928956e-12
"224","daily","eGARCH","norm","1,1","1,2","-3.91785217693662",5.71986902286881e-13
"225","daily","eGARCH","norm","1,1","1,3","-3.91443473325798",7.26085858104852e-14
"226","daily","eGARCH","norm","1,1","1,4","-3.91122486341232",3.21964677141295e-15
"227","daily","eGARCH","norm","1,1","2,0","-3.9206507677785",1.4181322782747e-11
